emoji,emoji_name
Tears of happiness,:'‑)
Tired,(=_=)
Tongue sticking out,:P
Tongue sticking out,:b
Tongue sticking out,:p
Tongue sticking out,:Þ
Tongue sticking out,:þ
Tongue sticking out,:‑P
Tongue sticking out,:‑b
Tongue sticking out,:‑p
Tongue sticking out,:‑Þ
Tongue sticking out,:‑þ
Tongue sticking out,=p
Tongue sticking out,>:P
Tongue sticking out,XP
Tongue sticking out,X‑P
Tongue sticking out,d:
Tongue sticking out,xp
Tongue sticking out,x‑p
Tongue-in-cheek,:‑J
Troubled,(>_<)
Troubled,(>_<)>
Troubled,(>w<)
Ultraman,(o|o)
Waving,($··)/~~~
Waving,(-_-)/~~~
Waving,(;_;)/~~~
Waving,(@^^)/~~~
Waving,(T_T)/~~~
Waving,(ToT)/~~~
Waving,(^.^)/~~~
Waving,(^^)/~~~
Waving,(^_^)/~
Wink,(^_-)
Wink,(^_-)-☆
Wink,*)
Wink,*-)
Wink,;)
Wink,;3
Wink,;>
Wink,;D
Wink,;]
Wink,;^)
Wink,;‑)
Wink,;‑]
Worried,"(-""""-)"
Worried,(-_-メ)
Worried,(^_^メ)
Worried,(~_~メ)
Worried,(・へ・)
Worried,(ーー;)
Worried,(ーー゛)
Worried,(－－〆)
Worried,(｀´)
Worried,<`ヘ´>
Worried,<`～´>
